Time,HF kWm2,St I2,St J2,St I,St J
7.439,18.93656477,130.84636,214.63197,146.22736,136.95961
7.469,18.58534841,130.82903,217.3736,146.18681,137.70677
7.499,17.61949728,130.87347,220.40842,146.28284,139.69827
7.529,15.76095998,130.98096,223.37697,146.42313,141.34764
7.559,14.1512081,131.04683,226.94504,146.71744,145.75725
7.589,13.36096516,130.9767,231.798,146.94009,149.3338
7.619,14.5756017,130.99281,232.99083,147.15067,149.84161
7.649,15.26340143,131.13847,232.50471,147.33585,149.36461
7.679,15.27803442,130.94633,231.49753,147.03362,149.08945
7.709,15.029249,130.64888,230.09468,146.79253,148.05159
7.739,15.38047764,130.38379,228.00739,146.63118,147.26373
7.769,16.59510191,130.2001,226.07162,147.08948,147.64967
7.799,18.24876504,130.09976,224.45416,147.09172,146.39548
7.829,17.1658377,129.94585,223.27583,147.51192,146.4592
7.859,16.43412672,129.92351,222.44693,148.04913,147.33156
7.889,15.52681984,130.00812,221.60963,148.63843,145.71187
7.919,15.49754158,130.12454,220.68465,149.23993,145.21597
7.949,14.59023469,130.22244,219.10287,149.1635,144.56267
7.979,14.34144928,130.239,217.6559,149.00578,143.1409
8.009,15.14632522,130.35658,215.95299,148.85252,142.15532
8.039,14.66339965,131.45389,215.53326,150.31242,141.42371
8.069,14.2975503,134.4557,215.71579,152.27705,140.34425
8.099,13.77071348,135.63928,215.1172,153.89598,139.69395
8.129,12.79022936,136.19191,213.76938,152.95711,139.02788
8.159,13.46340838,136.26654,212.34766,152.19444,138.50439
8.189,14.28291731,136.00285,211.4633,151.27147,138.26628
8.219,15.08779325,135.75893,209.87386,150.64783,138.51149
8.249,14.89755208,135.54979,207.99052,150.16753,138.13924
8.279,15.21950245,135.39468,206.59198,149.84981,138.9547
8.309,16.7414441,135.32158,205.513,149.52605,139.05562
8.339,17.34144588,135.42665,205.03137,149.32317,139.61742
8.369,17.97071364,135.32848,205.42665,149.09322,143.16754
8.399,20.89754528,135.29553,206.71088,148.99698,142.85558
8.429,22.11216955,135.00705,210.12285,148.87318,144.90546
8.459,21.45363581,134.92664,214.15634,148.80124,144.4296
8.489,21.76095319,134.87485,216.95963,148.7695,143.67935
8.519,19.77071897,134.84743,218.42397,148.66101,145.28874
8.549,18.49753818,134.7939,219.99252,148.64352,146.04726
8.579,17.95608065,134.75227,222.3978,148.57933,149.30954
8.609,16.71217812,134.7708,224.9451,148.61278,151.16756
8.639,15.92193517,134.73904,226.26526,148.84853,152.97592
8.669,15.96583415,134.74989,228.50017,149.29207,154.81055
8.699,16.27315153,134.85612,229.61031,149.53792,155.06702
8.729,17.23900266,134.95129,229.24626,150.03435,154.55016
8.759,20.47315169,135.09671,227.87166,149.78088,153.44063
8.789,20.00485912,135.15442,226.11832,149.29799,151.44131
8.819,18.24876504,135.0114,223.98302,148.99846,149.32649
8.849,17.2975469,134.9232,221.71111,149.05548,147.49631
8.879,16.47803797,134.75224,219.21083,149.26573,145.94489
8.909,15.39511063,134.65248,217.7327,150.67291,145.13972
8.939,14.66339965,134.59933,216.3195,152.76801,144.70644
8.969,13.78535875,134.6496,214.33389,154.28836,144.84265
8.999,13.14144572,134.6926,212.13664,154.88998,143.95473
9.029,12.46827899,134.61958,210.63855,154.70483,142.77496
9.059,11.76584627,135.07756,209.24965,154.34331,141.79652
9.089,11.12194552,135.98463,208.04976,154.79073,141.73466
9.119,11.67803604,136.95949,207.46303,155.66722,140.85356
9.149,12.04388539,137.63779,206.5694,155.27455,140.29482
9.179,12.35120278,137.7747,205.66818,155.08528,140.61107
9.209,13.03901478,137.67949,204.73288,154.24435,140.47153
9.239,13.12681273,137.43622,203.71202,153.51328,140.0714
9.269,12.62925418,137.22298,203.64386,152.6871,139.5999
9.299,11.91218846,137.05321,203.68216,152.23871,139.33379
9.329,11.8829102,136.90608,204.59979,151.82391,139.34631
9.359,12.13169562,136.74527,205.79272,151.64038,139.17372
9.389,12.07316365,136.69597,205.76973,151.46922,138.84576
9.419,12.29267081,136.71349,205.86465,151.26518,138.34123
9.449,11.70730202,136.67236,207.40396,151.13315,137.49719
9.479,11.50242786,136.72021,209.60315,151.04962,137.01103
9.509,11.26828771,136.78087,210.91403,150.98289,136.91415
9.539,11.1512115,136.84674,211.82445,150.9725,137.06349
9.569,11.0048693,137.01839,211.91292,151.04387,137.21368
9.599,10.82926112,137.14397,211.50217,151.0233,137.11919
9.629,11.44389589,137.21248,210.6472,151.05429,136.8584
9.659,12.55608922,137.29573,209.43611,151.16386,137.23705
9.689,13.19998997,137.58824,208.27805,151.37366,139.55322
9.719,13.15609099,137.99672,207.46574,151.81557,140.23834
9.749,12.74633039,138.36801,206.54733,152.49554,140.97574
9.779,13.5951053,138.66261,205.68716,152.98817,141.39339
9.809,14.73657689,138.6956,204.75378,152.25629,141.28598
9.839,14.86827382,138.85042,203.75691,152.22168,141.03392
9.869,14.78047586,138.92511,202.79494,151.81169,140.73355
9.899,14.47315848,138.87848,202.24841,152.08006,140.10059
9.929,14.37071526,138.84119,201.94403,154.53928,139.17625
9.959,13.41949712,138.79907,201.92992,154.46054,138.40486
9.989,13.53657334,139.17435,201.54205,154.35329,138.40958
10.019,13.56583932,139.59785,200.67821,153.87973,138.54678
10.049,12.79022936,139.86952,199.95143,154.49788,138.23347
10.079,12.42438001,139.89705,200.02225,154.71605,137.87878
10.109,11.89755547,139.735,200.41347,154.37112,137.62495
10.139,12.04388539,139.5468,200.70541,154.14445,137.11197
10.169,12.77559637,139.35237,201.56799,153.85312,136.459
10.199,12.93657156,139.11124,202.6615,153.34204,136.28816
10.229,12.62925418,138.89511,203.84341,153.17174,138.76054
10.259,12.49754497,138.80289,205.25546,153.00468,140.31609
10.289,13.15609099,138.73517,206.71869,152.83621,140.55394
10.319,14.22437306,138.69907,207.81807,152.60651,141.55209
10.349,14.25365132,138.65794,210.45003,152.44936,141.01878
10.379,14.5756017,138.64799,214.31348,152.29269,141.04857
10.409,14.70729863,138.65662,216.85725,152.15732,140.53598
10.439,14.4438925,138.73997,218.1264,152.10837,139.78836
10.469,13.71218152,138.76758,219.50444,152.07112,139.17389
10.499,12.9951158,138.88838,221.01419,152.0876,138.5121
10.529,12.20486058,139.00711,223.0916,152.03743,138.05753
10.559,11.83901123,139.15779,224.11021,151.92941,138.02878
10.589,11.53169384,139.31256,224.69827,151.97937,138.09509
10.619,10.84389412,139.35188,224.39917,152.00098,138.6972
10.649,10.55120972,139.29506,223.43903,151.89822,138.92949
10.679,10.12681613,139.17548,222.06445,151.79744,138.6313
10.709,11.10731252,139.13383,220.83011,151.66695,138.1086
10.739,11.70730202,139.18092,220.34381,151.60159,137.74753
10.769,11.82437824,139.34669,220.51106,151.62775,137.55502
10.799,12.1755946,139.48596,219.77112,152.04742,137.38182
10.829,12.07316365,139.5484,218.80441,152.68315,137.17165
10.859,12.84877361,139.76627,218.20868,153.2692,137.01016
10.889,15.5853518,139.74998,217.06009,152.66721,136.96362
10.919,16.03901138,139.6969,215.86429,152.30901,137.61652
10.949,15.55608582,139.60297,215.39326,152.27303,138.31099
10.979,14.86827382,139.58803,215.01418,152.3149,137.85776
11.009,14.18047409,139.77026,214.08662,152.46706,137.24846
11.039,13.02438179,139.75792,213.30914,152.3495,136.78494
11.069,12.35120278,139.55937,212.92363,152.26488,136.46768
11.099,12.51217796,139.40588,212.64647,152.15907,136.21219
11.129,12.07316365,139.20717,213.68066,152.14507,137.18816
11.159,12.7170644,139.03584,213.99815,152.08214,138.89311
11.189,12.92193857,138.96712,213.52481,152.00475,139.97377
11.219,13.06828076,138.87793,212.75998,151.91557,139.83102
11.249,13.17072398,138.82991,212.00035,151.85384,139.56323
11.279,13.53657334,138.73827,211.17848,151.78673,140.91876
11.309,13.43413012,138.72659,210.77237,151.74799,140.82828
11.339,13.34633216,138.69766,211.09531,151.71237,139.7305
11.369,12.93657156,138.74957,212.66966,151.69678,139.48405
11.399,12.83414062,138.73145,214.29071,151.70392,140.19624
11.429,12.74633039,138.83946,215.04263,151.69395,139.8828
11.459,12.64388717,138.83264,215.07613,151.71054,139.19922
11.489,12.29267081,138.97081,215.50777,151.73764,138.87149
11.519,11.99998642,139.05437,216.13971,151.75218,138.80769
11.549,11.79511225,139.17479,216.23808,151.88808,138.62492
11.579,11.18047748,139.30571,216.66513,152.07745,139.26608
11.609,10.5951087,139.50327,217.4267,152.2563,141.08073
11.639,10.18536037,139.73111,218.60887,152.32791,142.36206
11.669,9.7170678,139.92526,221.85234,152.18599,143.49161
11.699,9.395117424,140.16444,225.01823,152.07681,144.59988
11.729,8.999989812,140.47221,227.02466,152.07428,144.86273
11.759,9.029255796,140.54817,228.8392,152.12274,145.26331
11.789,9.175597992,140.53537,230.88632,152.14738,147.0209
11.819,9.424383408,140.57523,231.89459,152.22664,149.65916
11.849,10.41950052,140.72847,231.69502,152.12148,150.56204
11.879,10.63901995,140.71727,231.6622,151.95378,150.72787
11.909,10.81462813,140.56741,231.38171,152.46458,150.36172
11.939,10.49267776,140.42735,231.55652,152.49469,150.60033
11.969,10.4633995,140.2457,231.15254,152.44725,150.65678
11.999,9.936574956,140.15962,231.50896,152.35217,149.98758
12.029,9.951207948,140.03111,230.8515,152.27237,149.45906
12.059,9.775599768,139.9493,229.42432,152.15343,149.18852
